QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận Bình Tân,60,,2,2,Đã có sổ,2200
Quận 4,40,,1,1,Đang chờ sổ,3100
Quận 12,65,Tây,2,2,Đã có sổ,2500
Quận 4,95,Đông Bắc,3,2,Đang chờ sổ,6200
Quận 4,115,,3,2,Đang chờ sổ,7200
Quận 4,115,Đông Bắc,3,2,Đang chờ sổ,7200
Quận 4,74,Đông Bắc,2,2,Đang chờ sổ,5000
Quận 4,115,Đông Bắc,3,2,Đang chờ sổ,6900
Quận 4,75,,2,2,Đang chờ sổ,5000
Quận 4,80,,2,,Giấy tờ khác,5100
Quận 7,63,,2,1,Đang chờ sổ,2000
Quận Thủ Đức,68,,2,2,,2600
Quận 7,45,,1,1,Đã có sổ,1600
Quận 8,92,Đông Nam,3,2,Đang chờ sổ,4700
Quận 7,105,,3,2,,4900
Quận Tân Phú,92,,3,2,,3630
Quận Tân Phú,84,Tây Nam,2,2,Đang chờ sổ,4400
Quận Bình Thạnh,70,Tây Nam,2,2,Đã có sổ,3300
Quận Thủ Đức,37,Tây Nam,1,1,Đã có sổ,1200
Quận Bình Tân,75,,2,2,Đang chờ sổ,2780
Quận Tân Phú,73,Tây Bắc,2,1,Đã có sổ,2450
Quận Thủ Đức,39,Đông Nam,1,1,Đã có sổ,1150
Quận Thủ Đức,52,Đông Nam,2,2,Đã có sổ,1570
Quận 2,153,,4,3,Đã có sổ,3850
Quận Thủ Đức,39,Nam,1,1,Đã có sổ,1100
Quận Phú Nhuận,71,Đông Bắc,2,2,Đã có sổ,4950
Huyện Nhà Bè,236,,6,4,Đã có sổ,4400
Huyện Bình Chánh,50,,2,2,Giấy tờ khác,1380
Quận Thủ Đức,71.84,,2,2,Đang chờ sổ,3300
Quận Tân Bình,129,Nam,3,2,Đã có sổ,6666.666
Quận 9,45.6,,1,1,Đang chờ sổ,2800
Quận 7,66,,2,2,Đã có sổ,2500
Huyện Nhà Bè,72,,2,2,,3300
Quận 7,161,,3,4,,2300
Quận 9,70,Đông,2,2,Đang chờ sổ,2200
Quận 2,75,,2,2,,3750
Quận 12,68,,2,2,Đang chờ sổ,1550
Quận Tân Phú,55,,2,1,Đang chờ sổ,1900
Quận 1,118,,3,2,,18000
Quận 1,78,,2,2,Đang chờ sổ,9500
Quận Tân Phú,71,,2,2,,3300
Quận 7,62,,2,2,Đang chờ sổ,2100
Quận 9,59,,2,1,Đang chờ sổ,1900
Quận Tân Phú,84,,2,2,,4000
Quận 8,66,,2,1,Đang chờ sổ,2900
Quận 8,46,,1,1,Đã có sổ,1100
Quận 9,30,,1,1,Đã có sổ,1300
Quận Tân Bình,30,,1,1,,861
Quận Thủ Đức,61,,2,2,Đang chờ sổ,1100
Quận Bình Thạnh,80,,2,2,Giấy tờ khác,4200
Quận 9,90,,3,2,,2900
Quận 9,59,,2,1,Đang chờ sổ,2250
Quận 8,56,,2,2,Đã có sổ,1500
Huyện Nhà Bè,99,Đông Nam,2,2,Đã có sổ,2100
Quận Bình Tân,75,,2,2,,2500
Quận 6,64.6,Đông Nam,2,1,,1930
Quận 2,45,Đông Nam,1,1,Đang chờ sổ,1950
Huyện Nhà Bè,75,,2,2,Đã có sổ,1750
Quận 9,30,,1,1,Đang chờ sổ,1300
Quận 7,54,Đông Nam,1,1,Đã có sổ,2100
Quận Phú Nhuận,85,,3,2,,5900
Quận 8,56,,2,2,Đang chờ sổ,1400
Quận Bình Thạnh,154,,4,3,,13900
Quận 12,87,Bắc,3,2,Đang chờ sổ,930
Quận 9,47,,1,1,Đã có sổ,400
Quận 8,88,,2,2,Đã có sổ,2850
Quận 8,73,,2,2,Đang chờ sổ,2130
Quận 8,78,,2,2,Đang chờ sổ,2540
Quận 9,59,Tây,2,1,Đã có sổ,1920
Quận 8,62,Tây Bắc,2,2,Đang chờ sổ,2030
Quận 2,60,Đông Nam,2,2,Đang chờ sổ,2295
Quận 9,46.5,Tây Nam,2,1,Đang chờ sổ,1750
Quận 9,54,,1,1,Đang chờ sổ,3500
Quận 12,60,,2,2,,1900
Quận 2,56,Tây,2,2,Đang chờ sổ,3500
Quận 10,50.12,,1,1,Đang chờ sổ,3900
Quận 8,56,,2,2,Đã có sổ,1500
Quận Phú Nhuận,105.1,,3,2,,5800
Quận 2,62,Đông Bắc,2,2,Đã có sổ,2150
Quận 9,69,,2,2,Đang chờ sổ,1780
Quận Phú Nhuận,98,,3,2,,6000
Quận 9,47,Đông Nam,1,1,Đang chờ sổ,1590
Quận 7,66,,2,2,,2100
Quận 2,47,,1,,,2350
Quận 8,87,Đông Nam,3,2,Đang chờ sổ,4300
Quận 2,47,,1,,,2350
Quận 8,87,Đông Nam,3,2,Đang chờ sổ,4300
Quận Tân Phú,80,,3,2,Đang chờ sổ,3050
Quận Phú Nhuận,78,,2,2,,4850
Quận 7,32.4,,1,1,Giấy tờ khác,1650
Quận 2,51,,1,,,2400
Quận Tân Phú,105,Tây,3,2,Đang chờ sổ,3900
Quận Phú Nhuận,317,,7,6,Đã có sổ,16000
Quận Gò Vấp,94,Tây Bắc,4,2,Đang chờ sổ,5500
Quận 12,78,Đông,2,2,Đã có sổ,2600
Huyện Bình Chánh,64,,2,2,Giấy tờ khác,1950
Huyện Bình Chánh,56,Đông,2,1,Đã có sổ,2270
Quận Tân Phú,65,Đông,2,1,Đang chờ sổ,2500
Quận 10,73,,2,2,Đang chờ sổ,5200
Quận 2,50,,1,1,Đã có sổ,3270
Quận 2,56,,1,1,Đang chờ sổ,3300
Quận Bình Tân,68,,2,2,Giấy tờ khác,1900
Quận Bình Thạnh,109,,3,2,,14700
Quận Bình Thạnh,154,,4,3,,14000
Quận 9,69,Đông Nam,2,2,Đang chờ sổ,2016
Huyện Bình Chánh,90,,2,2,Đang chờ sổ,3900
Quận Bình Thạnh,68,Tây Bắc,2,1,Giấy tờ khác,2800
Quận 7,38,,1,1,,1790
Quận 8,63,Tây Nam,2,2,Đang chờ sổ,2050
Huyện Bình Chánh,100,Đông,1,1,Đang chờ sổ,1950
Quận 9,65.7,Bắc,2,2,,2100
Quận 12,470,,2,2,Đã có sổ,6200
Quận 9,69,,3,2,,1752.293
Quận 12,50,Tây Nam,1,1,Đã có sổ,2600
Quận 2,120.8,,3,2,Đã có sổ,6200
Quận 2,75,,2,,,3900
Quận 12,117,,3,2,Đã có sổ,2300
Quận 9,60,,2,2,,3300
Quận 12,42,,2,1,Đang chờ sổ,960
Quận 9,59,,2,1,Đang chờ sổ,2350
Quận 7,60,,2,1,,2499
Quận 7,134,,3,2,Đã có sổ,6200
Huyện Nhà Bè,101,Tây Nam,2,2,Đã có sổ,2300
Quận 2,60,,1,1,Đang chờ sổ,6000
Quận Tân Phú,64,Đông Nam,2,2,Đang chờ sổ,2350
Quận 7,125,,3,2,Đã có sổ,6500
Quận 8,52,Tây Bắc,2,1,Đang chờ sổ,2100
Quận 7,71,,2,2,Đã có sổ,2650.00008
Quận 9,60,Đông Bắc,2,1,Đang chờ sổ,1999.999
Quận 8,92,Đông Nam,3,2,Giấy tờ khác,2590
Quận 9,50.07,Tây Bắc,1,1,Giấy tờ khác,3225
Quận 2,55,,3,3,Đang chờ sổ,2900
Huyện Bình Chánh,110,,3,3,Đang chờ sổ,3900
Quận 10,87,,2,2,,7000
Quận Tân Phú,70,,2,2,Đã có sổ,2850
Quận 8,52,Nam,1,1,Giấy tờ khác,1880
Quận Thủ Đức,89,Đông,3,2,,2400
Quận Bình Thạnh,78,Tây Bắc,2,2,,4300
Quận Tân Bình,74,,2,2,Đã có sổ,3300
Quận Thủ Đức,65,,2,2,Đang chờ sổ,2900
Quận 9,115,Tây,3,3,Giấy tờ khác,3710
Quận 10,105,,3,3,Đang chờ sổ,6550
Quận Tân Bình,36,,1,1,Đang chờ sổ,2050
Quận 8,51,Tây,2,1,,1700
Quận Tân Phú,71,Đông Bắc,2,2,Đã có sổ,3200
Quận 10,35,Bắc,1,1,Giấy tờ khác,1450
Quận Bình Thạnh,89,,2,2,Đang chờ sổ,7688
Quận 10,72,,2,2,Đang chờ sổ,5000
Quận 8,78,,2,2,Đang chờ sổ,2600
Quận 9,47,,1,1,Đang chờ sổ,510
Quận Tân Phú,120,,3,3,,5500
Quận 9,108,Tây Nam,4,3,Giấy tờ khác,5052.156
Quận 7,140,Bắc,4,2,Đã có sổ,3650
Quận 7,825,,,,Đã có sổ,150000
Quận Thủ Đức,77.6,Tây Nam,2,2,Giấy tờ khác,4750
Quận 9,31,Tây Bắc,1,1,Đang chờ sổ,850
Quận 6,67,,2,1,Đã có sổ,2300
Quận Tân Phú,65.2,,2,2,Đang chờ sổ,2730
Quận Tân Phú,52,,2,1,Đã có sổ,1700
Quận 7,54,,1,1,Đã có sổ,1920
Quận 7,68,Bắc,2,2,Đã có sổ,2100
Quận 8,68,Đông Bắc,2,2,Đã có sổ,2800
Quận 9,69,Tây Nam,2,2,Đang chờ sổ,2435
Quận Bình Thạnh,59.1,,1,1,,1271
Quận 8,90,,3,2,,2650
Quận 2,101,,3,2,Giấy tờ khác,5400
Quận 12,58,Bắc,2,2,Đã có sổ,1600
Quận 2,93,,3,2,Đã có sổ,6250
Quận Tân Phú,65.3,,2,2,Đang chờ sổ,2750
Quận 2,101,Đông Nam,3,2,Đang chờ sổ,5974
